Game,Details,Image URL,Video URL,Category,Player Count,Difficulty,Age,appid
PaintLab,Paint or sculpt your own 3D creations and play around with them in Virtual Reality! It’s  easy to use and a lot of fun to use PaintLab with friends and family!,https://productionappstorage-f3b9.kxcdn.com/7502/conversions/cvZxZCpCQWsHKz0OrD3e9n8PP8Uuz3MdqpdgK4Xu-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/24593/conversions/movie_max.webm,Art,1,1,,455160
ABC Paint,"ABC Paint is a simple Multiplayer VR drawing experience that anyone can start using in seconds. Have fun with your friends, the brush, palette and an endless canvas. Randomized funny heads for players. Draw on your friends head or paint them a stick figure body. All interactions are strictly touch-based, the only controller button to press is the trigger.",https://productionappstorage-f3b9.kxcdn.com/10153/conversions/d0e761f0-a168-11e8-949d-1b2b1346e3f3-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/24912/conversions/abcpaint.webm,Art,1-4,1,,907520
DoodleVR,Doodle VR is a Pictionary like VR game. A classic word guessing game where one person draws a picture in virtual reality and the teammates have to guess what is being drawn. Pefect as party game or for teambuilding sessions!,https://productionappstorage-f3b9.kxcdn.com/10221/conversions/53954240-d221-11e8-b9d1-e355e8cfe631-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/24926/conversions/DoodleVR_1.webm,Art,1,1,,936170
Hyper Dash,"Hyper Dash is a VR multiplayer team based shooter. Dash, sprint, and rail grind your way across the arenas to engage the enemy in fast-paced combat and secure the objective for your team.",https://productionappstorage-f3b9.kxcdn.com/30193/conversions/Banner_600x280_2022-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/27694/conversions/Hyperdash_Trailer.webm,Blasters,1+,3,,1386890
Arcade LA Deadzone,"IN BETA. The west coast has fallen. An army of undead roam the streets. Your only chance of survival is to retaliate. Not everyone will make it out alive. LA Deadzone is a virtual reality cooperative fight through the streets of Los Angeles. Built specifically for VR Arcades, up to four players have their own section of the map.",https://productionappstorage-f3b9.kxcdn.com/17681/conversions/ArcadeLADeadzone_Title2-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/17685/conversions/ShortEdit.webm,Blasters,1-4,3,,904590
Zero Caliber,"CO-OP Multiplayer, Online Warfare
Zero Caliber VR is a first-person tactical shooter. 
Each weapon has its unique reloading method that you have to learn and practice to fully master them. If you fancy explosions, just grab a grenade and throw it at the enemy. After you pulled the pin of course. ",https://productionappstorage-f3b9.kxcdn.com/10542/conversions/53d5ae20-5c47-11e9-85ed-a32fe326ec60-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10542/conversions/53d5ae20-5c47-11e9-85ed-a32fe326ec60-thumbnail.jpg,Blasters,2+,5,,877200
Pistol Whip,"Inspired by God-mode action movies like John Wick and Equilibrium, Pistol Whip throws you gun-first into an explosive batch of hand-crafted action scenes each set to their own breakneck soundtrack. ",https://productionappstorage-f3b9.kxcdn.com/22058/conversions/PW_2560-(2)-(1)-thumbnail.jpg,"https://productionappstorage-f3b9.kxcdn.com/21810/conversions/y2mate.com---Pistol-Whip---VR-Launch-Trailer-_-Oculus-Quest,-PC-VR_KUwzpaReU5g_1080p.webm",Blasters,1,1,,1079800
Arizona Sunshine,"Step in the midst of a zombie apocalypse as if you were really there, freely move around and explore a post-apocalyptic world, and handle motion-controlled weapons with real-life movements - putting the undead back to rest is more thrilling and satisfying than ever before.",https://productionappstorage-f3b9.kxcdn.com/9910/conversions/Yk4uSDzrfxqLp6kXMYWzAhIcZV6mVtHvGaskPcLl-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/11042/conversions/ApOn0rY8Og2OhRQHoekaHyZEz6mVOd4yf2AdHWXl.webm,Blasters,1-4,3,,1540210
Cowbots and Aliens,"A furious PvP Multiplayer brawl in VR set in the Saloon-iverse of Cowbots and Aliens. Free movement, deadly gunplay, multiple competitive modes and a custom networked physics system that lets you use EVERYTHING as a weapon makes for an immensely satisfying VR ruckus! Includes intensely fun single player AI to play against as well.",https://productionappstorage-f3b9.kxcdn.com/7164/conversions/TKjtHKVyjyRG98XUM4jCX9mbwWAL9RlnqQ7U1vss-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10838/conversions/3mNHH2Vbqw8m3Wzxg0U7P2M1ynnUu7AEieIRMnFB.webm,Blasters,1-4,3,,517670
After-H,"Join the Solar System's battlefields and fight as the Earth Force, The Awakens or the Skimmers faction in a competitive fast-paced FPS. Gather your team in Team Deathmatch mode to overtake a space ship crash site on Mars, take control of ancient artefacts playing Domination mode in the Ruins Bay. Join the Fight Now! Realistic manipulation and futurist gun fighting Fight all over the solar system, indoor and outdoor.",https://productionappstorage-f3b9.kxcdn.com/10291/conversions/6d6e2260-f25a-11e8-be6a-079ab7c26423-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/24915/conversions/afterH.webm,Blasters,2-8,3,,989040
SUPERHOT VR,"Blurring the lines between cautious strategy and unbridled mayhem, SUPERHOT VR is the FPS in which time moves only when you move. No regenerating health bars. No conveniently placed ammo drops. It's just you, outnumbered and outgunned, grabbing the weapons off fallen enemies to shoot, slice, and maneuver through a hurricane of slow-motion bullets.
",https://productionappstorage-f3b9.kxcdn.com/10509/conversions/yOmJHeeGUM5ycFhTtH2qWHqrK0oIP7Woq9DbS1CY-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/11044/conversions/ttv6IWsaN9NlQMeE9YWsBGJmJTvqFx6L4hIKJT2Z.webm,Blasters,1,3,,617830
Gunheart,"Gunheart is a co-op shooter built from the ground up for virtual reality. You and your friends will inhabit robotic bounty hunters trying to make a buck at the edge of the galaxy blasting aliens, exploring exotic locations and raking in cash to upgrade your rig. Along the way you’ll master a large arsenal of weapons and unlock abilities that will reward you for working as a team.
",https://productionappstorage-f3b9.kxcdn.com/8368/conversions/JEO7EW3JMaWaIQEReGI43rEjiigZOB3NS7btHbQU-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10939/conversions/NpKoRR1uYc1TVSV8We9FMjaEuddi0P4Ds2HB5n4z.webm,Blasters,2-8,5,,551700
Raw Data,"uilt from the ground up for VR, Raw Data’s action combat gameplay, intuitive controls, challenging enemies, and sci-fi atmosphere will completely immerse you within the surreal environments of Eden Corp. Go solo—or team up with a friend—and become the adrenaline-charged heroes of your own futuristic technothriller.
",https://productionappstorage-f3b9.kxcdn.com/9289/conversions/ZQjRdEQrFq7OOojZpWTVBSLwm47isElEoc7IFFfO-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10990/conversions/wCwVlO3Q81vrq280jPua2UsvxTLUlNB73sOhglFO.webm,Blasters,1-2,3,,436320
Sairento VR,"Experience the iconic ""bullet-time"" scenes from The Matrix, blended with the slow-motion mayhem of the Max Payne game series, all while looking and feeling as badass as the Bride from Kill Bill.",https://productionappstorage-f3b9.kxcdn.com/7156/conversions/0ZBFqvlowL2zJJgqCLBmDb3A9T2stXPxK361xUV1-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10833/conversions/LalW8CXgqrMRJo44aKeVzEsJMJ8sIcBJhI1ndBgg.webm,Blasters,1+,5,,555880
VR Battle Royale,Stand Out is the ultimate fight for your life. Compete to be the last man alive on a huge island filled with deadly weapons and vehicles. This is Battle Royale.  Great for learge groups since game play depends on number of players in game.,https://productionappstorage-f3b9.kxcdn.com/9186/conversions/AitK5luwDZnqNyp0Vfd5pVO49ytiy0tsUHqR6LNq-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10981/conversions/xjHBGnO5pvNQk5dku16ad8pEHpTuuEQsDuMNcWzO.webm,Blasters,1+,5,,775990
RevolVR 3,"On a dusty planet with sand-blasting winds, gun-making tycoons start renting robot bodies to adventurous humans with hotshot ambitions in return for trying out their newly designed revolver handguns. Gunslingers of all sorts load into robotic bodies to take part in grand Frontier-like stand-offs and show off their skills and shooting styles.
Choose one of four characters with unique revolvers and battle your way through three arenas. Jump, duck, hide behind covers and choose unusual angles to shoot from.
Let the best bot win!",https://productionappstorage-f3b9.kxcdn.com/25258/conversions/7-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/28421/conversions/RevolVR2_LBE_Actors_1.webm,Blasters,2-6,3,,1437770
Just In Time Incorporated,"Become a death prevention insurance agent at Just In Time Incorporated and grab bullets, grenades, or even a fire extinguisher to save your clients from gruesome death. With the power of hyper-glove technology, time slows down but you won’t have to!",https://productionappstorage-f3b9.kxcdn.com/8370/conversions/597e4060-b927-11e7-97dc-1fce88dd4236-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10941/conversions/hDDiqnbv1dnjMSvUeS80FITGLk0WqMVtyVNhbnCs.webm,Blasters,1,3,,592030
Space Pirate Trainer,"Space Pirate Trainer is the official trainer for wannabe space pirates! Pick up your blasters, put on your sneakers, and dance your way into the Space Pirate Trainer hall of fame.",https://productionappstorage-f3b9.kxcdn.com/7126/conversions/iupYHEITtBn8mLVvyaX0ivihffnfoGp6niWEA5eH-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/10819/conversions/A5Lip18YkwhGKd6gS0K8F2a5t30Azg4DheOUbHd9.webm,"Blasters, Sky",1,3,,418650
Tower Tag,"Tower Tag brings Laser Tag to VR and combines eSports with virtual reality. Tower Tag is challenging, Tower Tag is thrilling, Tower Tag is pure emotion. The entire game is based on a single button, meaning that players spend less time learning and more time playing. The competitive nature of the game leads to customers wanting to play one match after the other.",https://productionappstorage-f3b9.kxcdn.com/18437/conversions/TowerTag_Visual-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/18439/conversions/TT-Teaser_2018-4__master_smaller.webm,"Blasters, Teams",2-8,1,,1187330
Project CARS 2,"THE ULTIMATE DRIVER JOURNEY! Project CARS 2 delivers the soul of motor racing in the world’s most beautiful, authentic, and technically-advanced racing game. For use with our race cars either in VR or out.",https://productionappstorage-f3b9.kxcdn.com/8719/conversions/ONFj3NmqPxlDt54Scr9qmQcTEHlTeJQoW9oQZklf-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/24954/conversions/ProjectCars2.webm,Cars,1,3,,860233
Paranormal Detective: Escape from the 80's,"Detective Role playing escape game filled with interactive toys and puzzles, this escape-room style game lets you explore and play. Perfect for VR enthusiasts who love retro aesthetics and 80’s throwbacks!",https://productionappstorage-f3b9.kxcdn.com/20204/conversions/80s_Game_Logo_Black_LG-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/20334/conversions/80s_trailer.webm,Escape,1,3,,1114460
Doctor Who,"A new mysterious enemy threatens to tear apart the universe and only you can stop them! Doctor Who: The Edge Of Time lets players embark on an adventure through space and time. Travel across the universe, visit alien locations, pilot the TARDIS and solve the mystery of the controlling force behind the Reality Virus.",https://productionappstorage-f3b9.kxcdn.com/18264/conversions/DrWho_Springboard-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/19077/conversions/The-Edge-of-Time-VR--Launch-Trailer--Doctor-Who.webm,Escape,1,1,,1066400
EscapeVR: Trapped Above the Clouds,"Can you escape? You find yourself trapped above the clouds - in a wardrobe of a mile high building which is still partly under construction. Not everything seems to be working as expected. You might just have to do some construction work yourself, or even nick some equipment from the canceled base jump event on the roof...",https://productionappstorage-f3b9.kxcdn.com/9113/conversions/W1AwJJl85E6eISjG7VxXgXYSzExWHwI9BlXWo4uW-thumbnail.jpg,https://productionappstorage-f3b9.kxcdn.com/23393/conversions/Trapped-Above-the-Clouds_Shortened-Trailer.webm,Escape,1,3,,1350170
